[2026-04-02 11:50:48] INFO:     127.0.0.1:58686 - "POST /v1/chat/completions HTTP/1.1" 200 OK
[2026-04-02 11:51:08 TP0] Decode batch, #running-req: 1, #token: 6336, token usage: 0.00, accept len: 1.90, accept rate: 0.47, cuda graph: True, gen throughput (token/s): 218.94, #queue-req: 0
[2026-04-02 11:51:09 TP0] Decode batch, #running-req: 1, #token: 6400, token usage: 0.00, accept len: 1.73, accept rate: 0.43, cuda graph: True, gen throughput (token/s): 198.42, #queue-req: 0
[2026-04-02 11:51:09 TP0] Decode batch, #running-req: 1, #token: 6464, token usage: 0.00, accept len: 1.75, accept rate: 0.44, cuda graph: True, gen throughput (token/s): 200.95, #queue-req: 0
[2026-04-02 11:51:09 TP0] Decode batch, #running-req: 1, #token: 6592, token usage: 0.00, accept len: 1.95, accept rate: 0.49, cuda graph: True, gen throughput (token/s): 223.57, #queue-req: 0
[2026-04-02 11:51:10 TP0] Decode batch, #running-req: 1, #token: 6656, token usage: 0.00, accept len: 1.82, accept rate: 0.46, cuda graph: True, gen throughput (token/s): 209.81, #queue-req: 0
[2026-04-02 11:51:10 TP0] Decode batch, #running-req: 1, #token: 6720, token usage: 0.00, accept len: 1.95, accept rate: 0.49, cuda graph: True, gen throughput (token/s): 223.90, #queue-req: 0
[2026-04-02 11:51:10 TP0] Decode batch, #running-req: 1, #token: 6784, token usage: 0.00, accept len: 1.90, accept rate: 0.47, cuda graph: True, gen throughput (token/s): 217.67, #queue-req: 0
[2026-04-02 11:51:11 TP0] Decode batch, #running-req: 1, #token: 6848, token usage: 0.00, accept len: 1.77, accept rate: 0.44, cuda graph: True, gen throughput (token/s): 203.83, #queue-req: 0
[2026-04-02 11:51:11 TP0] Decode batch, #running-req: 1, #token: 6912, token usage: 0.00, accept len: 1.95, accept rate: 0.49, cuda graph: True, gen throughput (token/s): 224.11, #queue-req: 0
[2026-04-02 11:51:11 TP0] Decode batch, #running-req: 1, #token: 7040, token usage: 0.00, accept len: 1.85, accept rate: 0.46, cuda graph: True, gen throughput (token/s): 206.67, #queue-req: 0
[2026-04-02 11:51:12 TP0] Decode batch, #running-req: 1, #token: 7104, token usage: 0.00, accept len: 1.55, accept rate: 0.39, cuda graph: True, gen throughput (token/s): 178.33, #queue-req: 0
[2026-04-02 11:51:12 TP0] Decode batch, #running-req: 1, #token: 7168, token usage: 0.00, accept len: 1.93, accept rate: 0.48, cuda graph: True, gen throughput (token/s): 221.65, #queue-req: 0
[2026-04-02 11:51:13 TP0] Decode batch, #running-req: 1, #token: 7232, token usage: 0.00, accept len: 1.77, accept rate: 0.44, cuda graph: True, gen throughput (token/s): 204.00, #queue-req: 0
[2026-04-02 11:51:13 TP0] Decode batch, #running-req: 1, #token: 7296, token usage: 0.00, accept len: 1.85, accept rate: 0.46, cuda graph: True, gen throughput (token/s): 213.29, #queue-req: 0
[2026-04-02 11:51:13 TP0] Decode batch, #running-req: 1, #token: 7360, token usage: 0.00, accept len: 2.02, accept rate: 0.51, cuda graph: True, gen throughput (token/s): 233.36, #queue-req: 0
[2026-04-02 11:51:14 TP0] Decode batch, #running-req: 1, #token: 7488, token usage: 0.00, accept len: 1.98, accept rate: 0.49, cuda graph: True, gen throughput (token/s): 227.85, #queue-req: 0
[2026-04-02 11:51:14 TP0] Decode batch, #running-req: 1, #token: 7488, token usage: 0.00, accept len: 1.57, accept rate: 0.39, cuda graph: True, gen throughput (token/s): 181.62, #queue-req: 0
[2026-04-02 11:51:14 TP0] Decode batch, #running-req: 1, #token: 7616, token usage: 0.00, accept len: 1.88, accept rate: 0.47, cuda graph: True, gen throughput (token/s): 214.83, #queue-req: 0
[2026-04-02 11:51:15 TP0] Decode batch, #running-req: 1, #token: 7680, token usage: 0.00, accept len: 1.73, accept rate: 0.43, cuda graph: True, gen throughput (token/s): 199.14, #queue-req: 0
