[2026-04-02 11:58:28] INFO:     127.0.0.1:35568 - "POST /v1/chat/completions HTTP/1.1" 200 OK
[2026-04-02 11:58:28] INFO:     127.0.0.1:35576 - "POST /v1/chat/completions HTTP/1.1" 200 OK
[2026-04-02 11:58:28] INFO:     127.0.0.1:35588 - "POST /v1/chat/completions HTTP/1.1" 200 OK
[2026-04-02 11:58:28] INFO:     127.0.0.1:35596 - "POST /v1/chat/completions HTTP/1.1" 200 OK
[2026-04-02 11:58:28] INFO:     127.0.0.1:35602 - "POST /v1/chat/completions HTTP/1.1" 200 OK
[2026-04-02 11:58:28] INFO:     127.0.0.1:35614 - "POST /v1/chat/completions HTTP/1.1" 200 OK
[2026-04-02 11:58:28] INFO:     127.0.0.1:35626 - "POST /v1/chat/completions HTTP/1.1" 200 OK
[2026-04-02 11:58:28] INFO:     127.0.0.1:35638 - "POST /v1/chat/completions HTTP/1.1" 200 OK
[2026-04-02 11:59:07 TP0] Decode batch, #running-req: 8, #token: 52224, token usage: 0.03, accept len: 2.06, accept rate: 0.52, cuda graph: True, gen throughput (token/s): 1121.64, #queue-req: 0
[2026-04-02 11:59:08 TP0] Decode batch, #running-req: 8, #token: 52800, token usage: 0.03, accept len: 2.17, accept rate: 0.54, cuda graph: True, gen throughput (token/s): 1180.39, #queue-req: 0
[2026-04-02 11:59:09 TP0] Decode batch, #running-req: 8, #token: 53568, token usage: 0.03, accept len: 2.26, accept rate: 0.56, cuda graph: True, gen throughput (token/s): 1229.08, #queue-req: 0
[2026-04-02 11:59:09 TP0] Decode batch, #running-req: 8, #token: 54208, token usage: 0.03, accept len: 2.27, accept rate: 0.57, cuda graph: True, gen throughput (token/s): 1241.42, #queue-req: 0
[2026-04-02 11:59:10 TP0] Decode batch, #running-req: 8, #token: 54912, token usage: 0.03, accept len: 2.14, accept rate: 0.53, cuda graph: True, gen throughput (token/s): 1165.25, #queue-req: 0
[2026-04-02 11:59:10 TP0] Decode batch, #running-req: 8, #token: 55680, token usage: 0.03, accept len: 2.36, accept rate: 0.59, cuda graph: True, gen throughput (token/s): 1283.75, #queue-req: 0
[2026-04-02 11:59:11 TP0] Decode batch, #running-req: 8, #token: 56448, token usage: 0.03, accept len: 2.17, accept rate: 0.54, cuda graph: True, gen throughput (token/s): 1182.29, #queue-req: 0
[2026-04-02 11:59:12 TP0] Decode batch, #running-req: 8, #token: 57088, token usage: 0.03, accept len: 2.17, accept rate: 0.54, cuda graph: True, gen throughput (token/s): 1176.49, #queue-req: 0
[2026-04-02 11:59:12 TP0] Decode batch, #running-req: 8, #token: 57856, token usage: 0.04, accept len: 2.27, accept rate: 0.57, cuda graph: True, gen throughput (token/s): 1234.69, #queue-req: 0
[2026-04-02 11:59:13 TP0] Decode batch, #running-req: 8, #token: 58496, token usage: 0.04, accept len: 2.09, accept rate: 0.52, cuda graph: True, gen throughput (token/s): 1139.45, #queue-req: 0
